,Pollutant,min,max,std,station_type,resample,station
71,PM1.0 - (µg/Nm3),,,,amb,1h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
72,SO2 - (µg/Nm3),0.393,157.186,51.09998100901524,amb,8h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
73,NO2 - (µg/Nm3),0.8863,15.8854,3.7367137642728627,amb,8h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
74,NOx - (µg/Nm3),1.4673,26.9241,5.240214146527041,amb,8h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
75,PM10 - (µg/Nm3),,,,amb,8h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
76,PM2.5 - (µg/Nm3),,,,amb,8h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
77,PM1.0 - (µg/Nm3),,,,amb,8h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
78,SO2 - (µg/Nm3),0.393,157.186,51.09998100901524,amb,24h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
79,NO2 - (µg/Nm3),0.8863,15.8854,3.7367137642728623,amb,24h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
80,NOx - (µg/Nm3),1.4673,26.9241,5.240214146527041,amb,24h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
81,PM10 - (µg/Nm3),,,,amb,24h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
82,PM2.5 - (µg/Nm3),,,,amb,24h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
83,PM1.0 - (µg/Nm3),,,,amb,24h,amb_v1.Quảng Ninh_ Vườn hoa phường Hồng Hà - Hạ Long (KK)_20250603_171848
84,SO2 - (mg/Nm3),0.0083333333,36.9333333333,5.6889491092206095,ck,1h,ck_7. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 1 2023
85,CO - (mg/Nm3),0.0083333333,242.909090909,47.68526840148777,ck,1h,ck_7. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 1 2023
86,NOx - (mg/Nm3),0.0083333333,944.9,153.08072746733154,ck,1h,ck_7. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 1 2023
87,TSP - (mg/Nm3),3.8285714285,88.2,13.355181745630945,ck,1h,ck_7. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 1 2023
88,SO2 - (mg/Nm3),0.009090909,35.3555555555,4.322164215152723,ck,8h,ck_7. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 1 2023
89,CO - (mg/Nm3),0.09375,230.91111111106667,43.38285755723852,ck,8h,ck_7. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 1 2023
90,NOx - (mg/Nm3),0.07583333328333333,648.15,154.91025577632143,ck,8h,ck_7. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 1 2023
91,TSP - (mg/Nm3),6.27163961035,53.18354166665,13.172249420344532,ck,8h,ck_7. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 1 2023
92,SO2 - (mg/Nm3),0.0416666666,25.4333333333,4.160038351828728,ck,24h,ck_7. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 1 2023
93,CO - (mg/Nm3),0.09743801652727271,198.23717171714,39.03462882927978,ck,24h,ck_7. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 1 2023
94,NOx - (mg/Nm3),0.18281249995625,553.6117045454167,146.26553027167287,ck,24h,ck_7. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 1 2023
95,TSP - (mg/Nm3),7.333634259220833,49.218701388862506,12.7138941627314,ck,24h,ck_7. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 1 2023
96,SO2 - (mg/Nm3),0.0083333333,38.35,9.007284811048464,ck,1h,ck_8. Du Lieu Trung Binh_Xi Măng Lam Thạch - Lò Nung Clinker 2 2023
